# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS
5656	Atsi	January	724	lŏ̱⁵⁵mo⁵⁵lă²¹khjap⁵⁵	ˀl ŏ ⁵⁵ + m o ⁵⁵ + l ă ²¹ + kʰ j a p ⁵⁵	i n t + i n t + i n t + i m n c t	ˀl ŏ - ⁵⁵ + m o ⁵⁵ + l ă ²¹ + kʰ j a p ⁵⁵	30 49 47 50
7365	Maru	January	724	lɔ̱⁵⁵tă³¹khjɛʔ⁵⁵	ˀl ɔ ⁵⁵ + t ă ³¹ + kh j ɛ ʔ ⁵⁵	i n t + i n t + i m n c t	ˀl ɔ - ⁵⁵ + t ă ³¹ + kh j ɛ ʔ ⁵⁵	30 47 50
9037	Bola	January	724	tʃin³⁵jɛ³¹	tʃ i n ³⁵ + /ʔ j ɛ ³¹	i n c t + i m n t	tʃ i n ³⁵ + /ʔ j ɛ - ³¹	51 50
10692	Lashi	January	724	lə̆⁵⁵mo⁵⁵ta³¹khjap⁵⁵	l ə̆ ⁵⁵ + m o ⁵⁵ + t a ³¹ + kh j a p ⁵⁵	i n t + i n t + i n t + i m n c t	l ə̆ - ⁵⁵ + m o ⁵⁵ + t a ³¹ + kh j a p ⁵⁵	30 52 47 50
#
743	Rangoon	Monday	740	tɑ⁵³nĩ⁵⁵lɑ²²	t ɑ ⁵³ + n ĩ ∼ ⁵⁵ + l ɑ ²²	i n t + i n c t + i n t	t ɑ ⁵³ + n - ĩ ∼ ⁵⁵ + l ɑ ²²	61 57 62
5672	Atsi	Monday	740	jĭ⁵⁵pan²¹thaŋ⁵¹lă²¹ŋji⁵⁵	/ʔ j ĭ ⁵⁵ + p a n ²¹ + tʰ a ŋ ⁵¹ + l ă ²¹ + ŋ j i ⁵⁵	i m n t + i n c t + i n c t + i n t + i m n t	/ʔ j ĭ ⁵⁵ + p a n ²¹ + tʰ a ŋ ⁵¹ + l ă ²¹ + ŋ j i - ⁵⁵	53 54 55 56 57
9053	Bola	Monday	740	lə̆³¹pan⁵¹ta³¹	l ə̆ ³¹ + p a n ⁵¹ + t a ³¹	i n t + i n c t + i n t	l ə̆ ³¹ + p - a n ⁵¹ + t a - ³¹	58 57 55
10707	Lashi	Monday	740	lə̆⁵⁵pan³¹ta³¹ŋjei⁵⁵	l ə̆ ⁵⁵ + p a n ³¹ + t a ³¹ + ŋ j ei ⁵⁵	i n t + i n c t + i n t + i m n t	l ə̆ ⁵⁵ + p - a n ³¹ + t a - ³¹ + ŋ j ei ⁵⁵	59 57 55 60
#
749	Rangoon	New Year's Day	746	n̥iʔ⁴tθiʔ⁴	n̥ i ʔ ⁴ + tθ i ʔ ⁴	i n c t + i n c t	n̥ i ʔ ⁴ + tθ i ʔ ⁴	70 11862
5678	Atsi	New Year's Day	746	tsan⁵¹sik⁵⁵	ts a n ⁵¹ + s i k ⁵⁵	i n c t + i n c t	ts a n ⁵¹ + s i k ⁵⁵	304 11862
7380	Maru	New Year's Day	746	tsəŋ³¹sa̱k⁵⁵	ts ə ŋ ³¹ + ˀs a k ⁵⁵	i n c t + i n c t	ts ə ŋ ³¹ + ˀs a k ⁵⁵	304 11862
9059	Bola	New Year's Day	746	tɛ̃⁵⁵sak⁵⁵	t ɛ̃ ∼ ⁵⁵ + s a k ⁵⁵	i n c t + i n c t	t ɛ̃ ∼ ⁵⁵ + s a k ⁵⁵	304 11862
10711	Lashi	New Year's Day	746	tsan³¹sə̱k⁵⁵	ts a n ³¹ + ˀs ə k ⁵⁵	i n c t + i n c t	ts a n ³¹ + ˀs ə k ⁵⁵	304 11862
#
1811	Rangoon	New Year's Day (in Burmese system, around April)	1794	tθĩ⁵⁵tɕɑ̃²²	tθ ĩ ∼ ⁵⁵ + tɕ ɑ̃ ∼ ²²	i n c t + i n c t	tθ ĩ ∼ ⁵⁵ + tɕ ɑ̃ ∼ ²²	77 78
#
164	Rangoon	Tibetan	164	ti⁵³bɛʔ⁴lu²²mjo⁵⁵	t i ⁵³ + b ɛ ʔ ⁴ + l u ²² + m j o ⁵⁵	i n t + i n c t + i n t + i m n t	t i ⁵³ + b ɛ ʔ ⁴ + l u ²² + m j o ⁵⁵	83 80 84 85
5098	Atsi	Tibetan	164	muŋ²¹phaŋ⁵⁵	m u ŋ ²¹ + pʰ a ŋ ⁵⁵	i n c t + i n c t	m u ŋ ²¹ + pʰ a ŋ ⁵⁵	79 80
6870	Maru	Tibetan	164	tsaŋ³⁵tshuʔ ³¹	ts a ŋ ³⁵ + tsh u ʔ ³¹	i n c t + i n c t	ts a ŋ ³⁵ + tsh u ʔ ³¹	79 80
8504	Bola	Tibetan	164	tsaŋ ³⁵	ts a ŋ ³⁵	i n c t	ts a ŋ ³⁵	79
10228	Lashi	Tibetan	164	lə̆³¹sɿ³³	l ə̆ ³¹ + s ɿ ³³	i n t + i n t	l ə̆ ³¹ + s ɿ ³³	81 82
#
744	Rangoon	Tuesday	741	ĩ²²gɑ²²	/ʔ ĩ ∼ ²² + g ɑ ²²	i n c t + i n t	/ʔ ĩ ∼ ²² + g ɑ ²²	97 98
5673	Atsi	Tuesday	741	jĭ⁵¹pan²¹thaŋ⁵¹i⁵⁵ŋji⁵⁵	/ʔ j ĭ ⁵¹ + p a n ²¹ + tʰ a ŋ ⁵¹ + /ʔ i ⁵⁵ + ŋ j i ⁵⁵	i m n t + i n c t + i n c t + i n t + i m n t	/ʔ j ĭ ⁵¹ + p a n ²¹ + tʰ a ŋ ⁵¹ + /ʔ i ⁵⁵ + ŋ j i ⁵⁵	90 91 92 93 94
9054	Bola	Tuesday	741	lə̆³¹pan⁵¹i̱³⁵	l ə̆ ³¹ + p a n ⁵¹ + ˀ/ʔ i ³⁵	i n t + i n c t + i n t	l ə̆ ³¹ + p a n ⁵¹ + ˀ/ʔ i ³⁵	95 91 96
#
1098	Rangoon	accomplish / succeed	1094	pji⁵⁵mjɑuʔ⁴	p j i ⁵⁵ + m j ɑ u ʔ ⁴	i m n t + i m n N c t	p j i ⁵⁵ + m j ɑ u ʔ ⁴	101 102
6033	Atsi	accomplish / succeed	1094	pa̱n⁵⁵	ˀp a n ⁵⁵	i n c t	ˀp a n ⁵⁵	100
7706	Maru	accomplish / succeed	1094	pəŋ³¹	p ə ŋ ³¹	i n c t	p ə ŋ ³¹	100
9408	Bola	accomplish / succeed	1094	pɛ̃⁵⁵	p ɛ̃ ∼ ⁵⁵	i n c t	p ɛ̃ ∼ ⁵⁵	100
#
1304	Rangoon	accumulate	1295	su⁵³	s u ⁵³	i n t	s u ⁵³	107
3029	Achang_Longchuan	accumulate	1295	xʐɔm³⁵	x ʐ ɔ m ³⁵	i m n c t	x ʐ ɔ m ³⁵	105
6238	Atsi	accumulate	1295	tsi̱ŋ²¹	ˀts i ŋ ²¹	i n c t	ˀts i ŋ ²¹	106
11189	Lashi	accumulate	1295	tsə̱ːŋ⁵⁵	ˀts əː ŋ ⁵⁵	i n c t	ˀts əː ŋ ⁵⁵	106
#
1608	Rangoon	accustomed to, be / habit of, haveve	1593	ɑ⁵³tɕĩ⁵³	/ʔ ɑ ⁵³ + tɕ ĩ ∼ ⁵³	i n t + i n c t	/ʔ ɑ ⁵³ + tɕ ĩ ∼ ⁵³	111 112
3317	Achang_Longchuan	accustomed to, be / habit of, haveve	1593	ȵ̥am³¹	ȵ̥ a m ³¹	i n c t	ȵ̥ a m ³¹	109
6543	Atsi	accustomed to, be / habit of, haveve	1593	man⁵⁵	m a n ⁵⁵	i n c t	m a n ⁵⁵	110
8177	Maru	accustomed to, be / habit of, haveve	1593	məŋ⁵⁵	m ə ŋ ⁵⁵	i n c t	m ə ŋ ⁵⁵	110
9904	Bola	accustomed to, be / habit of, haveve	1593	mɛ̃³⁵	m ɛ̃ ∼ ³⁵	i n c t	m ɛ̃ ∼ ³⁵	110
11458	Lashi	accustomed to, be / habit of, haveve	1593	maːn⁵⁵	m aː n ⁵⁵	i n c t	m aː n ⁵⁵	110
#
1562	Rangoon	ache (head)	1549	kɑiʔ⁴	k ɑi ʔ ⁴	i n c t	k ɑi ʔ ⁴	118
3274	Achang_Longchuan	ache (head)	1549	xə³¹	x ə ³¹	i n t	x ə ³¹	116
4744	Xiandao	ache (head)	1549	khɤ³¹	kh ɤ ³¹	i n t	kh ɤ ³¹	116
6497	Atsi	ache (head)	1549	no⁵¹	n o ⁵¹	i n t	n o ⁵¹	117
8133	Maru	ache (head)	1549	nɔ³¹	n ɔ ³¹	i n t	n ɔ ³¹	117
9859	Bola	ache (head)	1549	na⁵⁵	n a ⁵⁵	i n t	n a ⁵⁵	117
11419	Lashi	ache (head)	1549	nɔː³¹	n ɔː ³¹	i n t	n ɔː ³¹	117
#
1620	Rangoon	admire and envy	1605	ɑ⁵⁵tɕɑ⁵³	/ʔ ɑ ⁵⁵ + tɕ ɑ ⁵³	i n t + i n t	/ʔ ɑ ⁵⁵ + tɕ ɑ ⁵³	126 123
6555	Atsi	admire and envy	1605	mĕ²¹sa²¹	m ĕ ²¹ + s a ²¹	i n t + i n t	m ĕ ²¹ + s a ²¹	122 123
9916	Bola	admire and envy	1605	sə̆³¹kɔ̱t⁵⁵nau⁵⁵	s ə̆ ³¹ + ˀk ɔ t ⁵⁵ + n au ⁵⁵	i n t + i n c t + i n t	s ə̆ ³¹ + ˀk ɔ t ⁵⁵ + n au ⁵⁵	123 124 125
#
1101	Rangoon	admit	1097	wũ²²khɑ̃²²	/ʔ w ũ ∼ ²² + kʰ ɑ̃ ∼ ²²	i m n c t + i n c t	/ʔ w ũ ∼ ²² + kʰ ɑ̃ ∼ ²²	132 131
6036	Atsi	admit	1097	jin⁵⁵	/ʔ j i n ⁵⁵	i m n c t	/ʔ j i n ⁵⁵	128
7709	Maru	admit	1097	mə̆³¹xa³¹	m ə̆ ³¹ + x a ³¹	i n t + i n t	m ə̆ ³¹ + x a - ³¹	130 131
9411	Bola	admit	1097	ŋɔt⁵⁵	ŋ ɔ t ⁵⁵	i n c t	ŋ ɔ t ⁵⁵	129
#
166	Rangoon	adult	166	lu²²tɕi⁵⁵	l u ²² + tɕ i ⁵⁵	i n t + i n t	l u ²² + tɕ - i ⁵⁵	139 134
1985	Achang_Longchuan	adult	166	tʂo⁵⁵kʐə³¹	tʂ o ⁵⁵ + k ʐ ə ³¹	i n t + i m n t	tʂ o ⁵⁵ + k ʐ ə ³¹	133 134
3638	Xiandao	adult	166	tʂu⁵⁵kɯ³¹	tʂ u ⁵⁵ + k ɯ ³¹	i n t + i n t	tʂ u ⁵⁵ + k - ɯ ³¹	133 134
5100	Atsi	adult	166	ko̱²¹paŋ²¹	ˀk o ²¹ + p a ŋ ²¹	i n t + i n c t	ˀk - o ²¹ + p a ŋ ²¹	135 136
6872	Maru	adult	166	ɣə³⁵mɔʔ⁵⁵	ɣ ə ³⁵ + m ɔ ʔ ⁵⁵	i n t + i n c t	ɣ ə ³⁵ + m ɔ ʔ ⁵⁵	138 137
8506	Bola	adult	166	kɔ̱⁵⁵maʔ⁵⁵	ˀk ɔ ⁵⁵ + m a ʔ ⁵⁵	i n t + i n c t	ˀk - ɔ ⁵⁵ + m a ʔ ⁵⁵	135 137
10230	Lashi	adult	166	kji³³paŋ⁵⁵	k j i ³³ + p a ŋ ⁵⁵	i m n t + i n c t	k j i ³³ + p a ŋ ⁵⁵	135 136
#
657	Rangoon	advantage / benefit	655	kɑ̃u⁵⁵tɕo⁵⁵	k ɑ̃ u ∼ ⁵⁵ + tɕ o ⁵⁵	i n N c t + i n t	k ɑ̃ u ∼ ⁵⁵ + tɕ o - ⁵⁵	147 145
2429	Achang_Longchuan	advantage / benefit	655	tɕi⁵⁵ʐua⁵⁵	tɕ i ⁵⁵ + ʐ ua ⁵⁵	i n t + i n t	tɕ i ⁵⁵ + ʐ ua - ⁵⁵	144 145
4005	Xiandao	advantage / benefit	655	a³¹cɔ⁵⁵	/ʔ a ³¹ + c ɔ ⁵⁵	i n t + i n t	/ʔ a ³¹ + c ɔ - ⁵⁵	148 145
5586	Atsi	advantage / benefit	655	kĕ⁵¹vaŋ²¹	k ĕ ⁵¹ + v a ŋ ²¹	i n t + i n c t	k - ĕ ⁵¹ + v a ŋ ²¹	146 145
8970	Bola	advantage / benefit	655	kai⁵⁵ɣɔ̃³¹	k ai ⁵⁵ + ɣ ɔ̃ ∼ ³¹	i n t + i n c t	k - ai ⁵⁵ + ɣ ɔ̃ ∼ ³¹	146 145
10638	Lashi	advantage / benefit	655	kjei³¹tʃaŋ³³	k j ei ³¹ + tʃ a ŋ ³³	i m n t + i n c t	k j ei ³¹ + tʃ a ŋ ³³	146 145
#
1027	Rangoon	affectionate / intimate	1023	khĩ²²	kʰ ĩ ∼ ²²	i n c t	kʰ ĩ ∼ ²²	157
5961	Atsi	affectionate / intimate	1023	a⁵⁵lu̱m²¹	/ʔ a ⁵⁵ + ˀl u m ²¹	i n t + i n c t	/ʔ a ⁵⁵ + ˀl u m ²¹	155 156
#
1269	Rangoon	afraid, be	1262	tɕɑuʔ⁴	tɕ ɑ u ʔ ⁴	i n N c t	tɕ - ɑ u ʔ ⁴	158
3004	Achang_Longchuan	afraid, be	1262	ʐoʔ⁵⁵	ʐ o ʔ ⁵⁵	i n c t	ʐ - o - ʔ ⁵⁵	158
4511	Xiandao	afraid, be	1262	ju⁵⁵	/ʔ j u ⁵⁵	i m n t	/ʔ j u ⁵⁵	159
6203	Atsi	afraid, be	1262	kjuʔ²¹	k j u ʔ ²¹	i m n c t	k j u - ʔ ²¹	158
7860	Maru	afraid, be	1262	kjauk³¹	k j au k ³¹	i m n c t	k j au - k ³¹	158
9569	Bola	afraid, be	1262	kjauʔ³¹	k j au ʔ ³¹	i m n c t	k j au - ʔ ³¹	158
11165	Lashi	afraid, be	1262	kjuːk³¹	k j uː k ³¹	i m n c t	k j uː - k ³¹	158
12053	Old_Burmese	afraid, be	1262	kro₂k	k r ʊ k ⁴	i m n c t	k r ʊ - k ⁴	158
#
644	Rangoon	age	642	ɑ⁵³tθɛʔ⁴	/ʔ ɑ ⁵³ + tθ ɛ ʔ ⁴	i n t + i n c t	/ʔ ɑ ⁵³ + tθ - ɛ ʔ ⁴	1064 167
2420	Achang_Longchuan	age	642	a³¹sak⁵⁵	/ʔ a ³¹ + s a k ⁵⁵	i n t + i n c t	/ʔ a ³¹ + s - a k ⁵⁵	1064 167
3999	Xiandao	age	642	a³¹sak⁵⁵	/ʔ a ³¹ + s a k ⁵⁵	i n t + i n c t	/ʔ a ³¹ + s - a k ⁵⁵	1064 167
5572	Atsi	age	642	tsan⁵¹vut²¹	ts a n ⁵¹ + v u t ²¹	i n c t + i n c t	ts a n ⁵¹ + v - u t ²¹	168 167
7291	Maru	age	642	tsəŋ³¹vɛʔ⁵⁵	ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵	i n c t + i n c t	ts ə ŋ ³¹ + v - ɛ ʔ ⁵⁵	168 167
8956	Bola	age	642	a³¹sak³¹	/ʔ a ³¹ + s a k ³¹	i n t + i n c t	/ʔ a ³¹ + s - a k ³¹	1064 167
10626	Lashi	age	642	tsan³¹wɔt³¹	ts a n ³¹ + /ʔ w ɔ t ³¹	i n c t + i m n c t	ts a n ³¹ + /ʔ w ɔ t ³¹	168 167
#
1380	Rangoon	agree / consent	1369	tɕhĩ²²	tɕʰ ĩ ∼ ²²	i n c t	tɕʰ ĩ ∼ ²²	170
3096	Achang_Longchuan	agree / consent	1369	ka³⁵	k a ³⁵	i n t	k a ³⁵	169
4581	Xiandao	agree / consent	1369	tsui³⁵	ts ui ³⁵	i n t	ts ui ³⁵	172
6313	Atsi	agree / consent	1369	ka̱m⁵⁵	ˀk a m ⁵⁵	i n c t	ˀk a m ⁵⁵	170
7954	Maru	agree / consent	1369	nuk³¹	n u k ³¹	i n c t	n u k ³¹	171
9675	Bola	agree / consent	1369	ka̱m³⁵	ˀk a m ³⁵	i n c t	ˀk a m ³⁵	170
11253	Lashi	agree / consent	1369	ka̱ːm³³	ˀk aː m ³³	i n c t	ˀk aː m ³³	170
#
1666	Rangoon	agree on / arrange	1651	tɕhẽ⁵⁵	tɕʰ ẽ ∼ ⁵⁵	i n c t	tɕʰ ẽ ∼ ⁵⁵	179
3370	Achang_Longchuan	agree on / arrange	1651	tʂu⁵⁵	tʂ u ⁵⁵	i n t	tʂ u ⁵⁵	176
6601	Atsi	agree on / arrange	1651	niŋ²¹tat²¹	n i ŋ ²¹ + t a t ²¹	i n c t + i n c t	n i ŋ ²¹ + t a t ²¹	177 178
8232	Maru	agree on / arrange	1651	la̱uŋ³¹	ˀl au ŋ ³¹	i n c t	ˀl au ŋ ³¹	180
9960	Bola	agree on / arrange	1651	taŋ³¹	t a ŋ ³¹	i n c t	t a ŋ ³¹	179
#
20	Rangoon	air; breath	20	ɑ⁵³ŋwe⁵³	/ʔ ɑ ⁵³ + ŋ w e ⁵³	i n t + i m n t	/ʔ ɑ ⁵³ + ŋ w e ⁵³	182 183
1851	Achang_Longchuan	air; breath	20	sui⁵⁵	s ui ⁵⁵	i n t	s ui - ⁵⁵	181
3516	Xiandao	air; breath	20	sɔʔ⁵⁵	s ɔ ʔ ⁵⁵	i n c t	s ɔ ʔ ⁵⁵	181
4957	Atsi	air; breath	20	soʔ⁵⁵	s o ʔ ⁵⁵	i n c t	s o ʔ ⁵⁵	181
6745	Maru	air; breath	20	soʔ⁵⁵	s o ʔ ⁵⁵	i n c t	s o ʔ ⁵⁵	181
8371	Bola	air; breath	20	saʔ⁵⁵	s a ʔ ⁵⁵	i n c t	s a ʔ ⁵⁵	181
10110	Lashi	air; breath	20	sɔʔ⁵⁵	s ɔ ʔ ⁵⁵	i n c t	s ɔ ʔ ⁵⁵	181
12009	Old_Burmese	air; breath	20	rhu	r̥ u ²²	i n t	r̥ u - ²²	181
#
425	Rangoon	alcoholic beverage	423	ɑ⁵³jɛʔ⁴	/ʔ ɑ ⁵³ + /ʔ j ɛ ʔ ⁴	i n t + i m n c t	/ʔ - ɑ - ⁵³ + /ʔ j ɛ ʔ ⁴	190 192
2217	Achang_Longchuan	alcoholic beverage	423	tsi⁵⁵	ts i ⁵⁵	i n t	ts i ⁵⁵	189
3857	Xiandao	alcoholic beverage	423	tsai⁵⁵	ts ai ⁵⁵	i n t	ts ai ⁵⁵	189
5357	Atsi	alcoholic beverage	423	i⁵¹	/ʔ i ⁵¹	i n t	/ʔ - i - ⁵¹	190
7105	Maru	alcoholic beverage	423	i̱k³¹	ˀ/ʔ i k ³¹	i n c t	ˀ/ʔ - i k ³¹	190
8748	Bola	alcoholic beverage	423	i̱⁵⁵phai³⁵	ˀ/ʔ i ⁵⁵ + ph ai ³⁵	i n t + i n t	ˀ/ʔ - i - ⁵⁵ + ph ai ³⁵	190 191
10451	Lashi	alcoholic beverage	423	je̱i³³phei⁵⁵	ˀ/ʔ j ei ³³ + ph ei ⁵⁵	i m n t + i n t	ˀ/ʔ j ei - ³³ + ph ei ⁵⁵	190 191
#
1299	Rangoon	alive, become / active	1290	ɕĩ²²	ɕ ĩ ∼ ²²	i n c t	ɕ ĩ ∼ ²²	200
3025	Achang_Longchuan	alive, become / active	1290	tut⁵⁵	t u t ⁵⁵	i n c t	t u t ⁵⁵	198
4527	Xiandao	alive, become / active	1290	cɛ⁵⁵	c ɛ ⁵⁵	i n t	c - ɛ ⁵⁵	7077
6233	Atsi	alive, become / active	1290	tui⁵¹	t u i ⁵¹	i m n t	t u i ⁵¹	7077
7886	Maru	alive, become / active	1290	tɔi³¹	t ɔi ³¹	i n t	t - ɔi ³¹	7077
9599	Bola	alive, become / active	1290	tui⁵⁵	t ui ⁵⁵	i n t	t - ui ⁵⁵	7077
11186	Lashi	alive, become / active	1290	təː³¹	t əː ³¹	i n t	t - əː ³¹	7077
#
61	Rangoon	alkali / soda	61	sho²²dɑ²²	sʰ o ²² + d ɑ ²²	i n t + i n t	sʰ o ²² + d ɑ ²²	204 205
#
880	Rangoon	all / everything	877	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	i n c t + i n t + i m n t	m̥ ɑ̃ ∼ ²² + tθ - ɑ - ⁵³ + m̥ j ɑ ⁵³	213 207 214
2636	Achang_Longchuan	all / everything	877	pʐa⁵⁵pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	i m n t + i m n t	p ʐ a ⁵⁵ + p ʐ a - ⁵⁵	206 207
4198	Xiandao	all / everything	877	chot⁵⁵	ch o t ⁵⁵	i n c t	ch o t ⁵⁵	215
5810	Atsi	all / everything	877	lu̱ŋ⁵⁵la̱ŋ⁵⁵	ˀl u ŋ ⁵⁵ + ˀl a ŋ ⁵⁵	i n c t + i n c t	ˀl u ŋ ⁵⁵ + ˀl a ŋ ⁵⁵	208 209
7511	Maru	all / everything	877	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	i n c t + i n c t	p ə ŋ ³¹ + ʃ - ɔ ʔ ⁵⁵	211 207
